Filename,CID,Job ID,Status,Created,Deal State,Deal Message,Piece CID,Miner
deplatformr-open-images-237.tar,QmSpv1yDZo2Y8o2LKVKEhsgHD4xchewVgfJPhc7KgbSn5s,bfeb3e47-864e-40cc-9258-0b72440e4448,JOB_STATUS_EXECUTING,2020-11-05 21:08:20
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqa3o7peznyhpolr6fy3tq4v5vmtco4th6fnhqnso6stzog6gyoqpy,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqa3o7peznyhpolr6fy3tq4v5vmtco4th6fnhqnso6stzog6gyoqpy,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqa3o7peznyhpolr6fy3tq4v5vmtco4th6fnhqnso6stzog6gyoqpy,f022308
deplatformr-open-images-199.tar,QmXdLWLJHKd3dcz7ZgH64YA4AZgixwpQnyGswhhAGqoAKM,cd753330-1c0d-469c-81d4-2452f469e153,JOB_STATUS_EXECUTING,2020-11-21 22:19:18
,,,,,StorageDealActive,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f02665
,,,,,StorageDealActive,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f08403
,,,,,StorageDealClientTransferRestart,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f02665
,,,,,StorageDealActive,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f022352
,,,,,StorageDealActive,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f022308
,,,,,StorageDealClientTransferRestart,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f02665
,,,,,StorageDealActive,,baga6ea4seaqpa7ww7hexhpzr7uipa7aup4hhrd4inhssmejsnawegyxsxpy5wda,f01276
deplatformr-open-images-412.tar,QmaFfatTBhuiL9boQJKuzaPrbuWAppECGZsb8D6azBcLrH,d9ef4a6f-9843-4fab-a6b5-1ed67aed8327,JOB_STATUS_EXECUTING,2020-11-20 04:02:36
,,,,,StorageDealActive,,baga6ea4seaqit4auatxzkx36k2di7ipdqweziw5zoheukeyydp4xj6of74efsgy,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqit4auatxzkx36k2di7ipdqweziw5zoheukeyydp4xj6of74efsgy,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqit4auatxzkx36k2di7ipdqweziw5zoheukeyydp4xj6of74efsgy,f02665
deplatformr-open-images-407.tar,QmRZLbfdGQSawHZh8pCF9CXwoToXbDTDD3mq35zHfgixyG,dd321e88-430a-4e97-88aa-db5bca950d6d,JOB_STATUS_EXECUTING,2020-11-19 19:37:54
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcwfagkc34xe3nfiekwyyvmd5lhgdtj47wwjnxxbrvdvu34efpyfq,f022308
,,,,,StorageDealError,error reading Response message: stream reset,baga6ea4seaqcwfagkc34xe3nfiekwyyvmd5lhgdtj47wwjnxxbrvdvu34efpyfq,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqcwfagkc34xe3nfiekwyyvmd5lhgdtj47wwjnxxbrvdvu34efpyfq,f022352
deplatformr-open-images-324.tar,Qmex8Zknbr8jPpNUvdkJcwE6S7KkME2WhcDRqMt59L7asg,022d66cd-0ed5-4f0b-84e2-41d0a1815694,JOB_STATUS_EXECUTING,2020-11-13 19:28:28
,,,,,StorageDealActive,,baga6ea4seaqftge2iljdvupdabttozagfo2rhjd65zrqwszvycxfn2eb3alzkma,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqftge2iljdvupdabttozagfo2rhjd65zrqwszvycxfn2eb3alzkma,f022308
deplatformr-open-images-202.tar,QmbnZzAfVQJ5M7E9aqQstzkYTPKjWAWGHePq5GKpEL4qKs,3154b29c-cf6b-4ba1-ae70-15d28b069827,JOB_STATUS_EXECUTING,2020-11-19 22:18:35
,,,,,StorageDealActive,,baga6ea4seaqis7sucxceeo4wbg5fqrct4izbrhct5jvpcuvlwlho6h75uknwepy,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqis7sucxceeo4wbg5fqrct4izbrhct5jvpcuvlwlho6h75uknwepy,f022308
deplatformr-open-images-390.tar,QmeYYFLqsACpe95VXG1dhAgZeebhphP2ekJtYSgaYZs4ha,322b6912-4e58-4986-ac66-4a45007b2e89,JOB_STATUS_EXECUTING,2020-11-18 02:49:13
,,,,,StorageDealActive,,baga6ea4seaqpaw6gycsbe6hxsl6drfbrxxbgltkl6zqjkca3oifjg6groqgxqai,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqpaw6gycsbe6hxsl6drfbrxxbgltkl6zqjkca3oifjg6groqgxqai,f022308
deplatformr-open-images-210.tar,QmPq7N4Y4GYw5hNW8pJrTjymvCQ6uCpMxTAfStoq6nvDuX,02d02050-9752-4441-860b-f74a716526fa,JOB_STATUS_EXECUTING,2020-11-04 17:14:49
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqf2igvggesmnx3vm26tmtkundjb7um3nwc32x7iivlvpfa7mmf6cy,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqf2igvggesmnx3vm26tmtkundjb7um3nwc32x7iivlvpfa7mmf6cy,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqf2igvggesmnx3vm26tmtkundjb7um3nwc32x7iivlvpfa7mmf6cy,f022308
deplatformr-open-images-309.tar,QmYpkwqxSkrdu4ZhQHcUiTsPDFcZXcFiWnSYQ3KLQgmkHP,1005ebe4-15d1-42ae-822e-75069c67110b,JOB_STATUS_EXECUTING,2020-11-13 19:28:24
,,,,,StorageDealActive,,baga6ea4seaqf33qrygfteqysvebu4lcdmcu7lz7vnc3mtdvtxnbeokazy3iy2ja,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqf33qrygfteqysvebu4lcdmcu7lz7vnc3mtdvtxnbeokazy3iy2ja,f022308
,,,,,StorageDealCheckForAcceptance,,baga6ea4seaqf33qrygfteqysvebu4lcdmcu7lz7vnc3mtdvtxnbeokazy3iy2ja,f02665
deplatformr-open-images-388.tar,QmcLRMuPdnjoWE1t6KYAyhhtAj5bWoENqzQd2uCwWXYBsb,1256620d-6e93-4a25-b467-56dd18619665,JOB_STATUS_EXECUTING,2020-11-18 02:47:58
,,,,,StorageDealActive,,baga6ea4seaqk2qlawjhzqrnaabuqhb2wpprn4zbd6ikffhpfhkp3kzbzfy7ggpi,f022352
,,,,,StorageDealTransferring,,baga6ea4seaqk2qlawjhzqrnaabuqhb2wpprn4zbd6ikffhpfhkp3kzbzfy7ggpi,f022308
deplatformr-open-images-389.tar,QmSbKdsZm72ca1mNQJQj1AjDLrx5dFMxXYqHqMxTz4hhwA,3427fc25-9ca4-46be-98d6-53c4b93e3107,JOB_STATUS_EXECUTING,2020-11-18 02:48:29
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqmok3vfnk3o4fu6bzmshu2bktolxd3ectcymq6t7pv7h5iu2pmmiq,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqmok3vfnk3o4fu6bzmshu2bktolxd3ectcymq6t7pv7h5iu2pmmiq,f022308
deplatformr-open-images-348.tar,QmT9HXFaZ9FxuLWTm5QCdsYrhZjxqFq4M7oYJ8fd9s74mY,887d46be-fab4-4a05-8b9a-9fb1d0c6e6a9,JOB_STATUS_EXECUTING,2020-11-13 19:28:18
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqm2wkpwbgrevbnim6cq4fec5orqgg3o57xs6jxjnuv7nejy537meq,f022308
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqm2wkpwbgrevbnim6cq4fec5orqgg3o57xs6jxjnuv7nejy537meq,f02665
,,,,,StorageDealActive,,baga6ea4seaqm2wkpwbgrevbnim6cq4fec5orqgg3o57xs6jxjnuv7nejy537meq,f022352
deplatformr-open-images-175.tar,QmTyhHosuX9CZnuuBKFN7QnQC4d5wVmSuvCW11Eav6FaeC,c7e657ce-1887-4f44-8290-567f48ba70a2,JOB_STATUS_EXECUTING,2020-10-30 22:00:36
,,,,,StorageDealClientTransferRestart,,baga6ea4seaqoftglobtdcm3g7lwqww5mk3c7heos76ts5a6wg6evlgyczjfyyci,f08482
,,,,,StorageDealClientTransferRestart,,baga6ea4seaqoftglobtdcm3g7lwqww5mk3c7heos76ts5a6wg6evlgyczjfyyci,f053255
,,,,,StorageDealError,error in deal activation: failed to set up called handler: called check error (h: 210098): client: failed to look up deal on chain: deal 1130647 not found,baga6ea4seaqoftglobtdcm3g7lwqww5mk3c7heos76ts5a6wg6evlgyczjfyyci,f02665
,,,,,StorageDealError,error in deal activation: failed to set up called handler: called check error (h: 210098): client: failed to look up deal on chain: deal 1131544 not found,baga6ea4seaqoftglobtdcm3g7lwqww5mk3c7heos76ts5a6wg6evlgyczjfyyci,f019824
deplatformr-open-images-223.tar,QmaZKCsCeryJ63ANFyG2HzK8KR55zErtCRNhbJ4RZ7iN6o,113a57af-1c47-4861-abb1-60b875e3c9b1,JOB_STATUS_EXECUTING,2020-11-05 18:49:03
