f024969 |            500000000 |            256 |    153312 | 1153312  
f024012 |      152177800000000 |      268435456 |    160350 |  246750  
f021716 |            100000000 |            256 |    156506 | 1207706  
f024015 |         100000000000 |            256 |    148076 | 1199276  
f05316  |         100000000000 |            256 |    148049 | 1199249  
f024136 |      152177800000000 |      268435456 |    160349 |  246749  
f032888 |            500000000 |            256 |    159196 | 1159196  
f08257  |      100000000000000 |      536870912 |    159830 |  246230  
f07709  |         100000000000 |            256 |    153042 |  239442  
f033113 |            500000000 |            256 |    157947 | 1157947  
f023869 |      152177800000000 |      268435456 |    160350 |  246750  
f04443  |              5000000 |            256 |    160829 |  247229  
f03002  |                    0 |            256 |    148719 |  235119  
f023530 |                    0 |            256 |    159883 |  246283  
f034567 |            500000000 |            256 |    159613 | 1159613  
f03347  |            500000000 |            256 |    154014 | 1154014  
f015662 |            100000000 |            256 |    150325 | 1201525  
f022399 |         100000000000 |            256 |    160393 | 1211593  
f019279 |         100000000000 |            256 |    158295 | 1209495  
f03624  |           1000000000 |      134217728 |    158497 |  244897  
f07824  |            500000000 |            256 |    159919 | 1159919  
f02405  |  7766279631452241920 |            256 |    159327 |  245727  
f030296 |        5000000000000 |      134217728 |    160272 |  246672  
f025025 |         100000000000 |      134217728 |    142056 |  228456  
f01272  |            500000000 |            256 |    157611 | 1157611  
f029401 |         100000000000 |            256 |    144567 |  230967  
f010491 |            500000000 |            256 |    156783 | 1847181  
f02823  |            500000000 |            256 |    153128 | 1153128  
f023219 |            500000000 |            256 |    150630 | 1150630  
f020436 |            500000000 |         131072 |    159888 |  246288  
f019240 |            100000000 |            256 |    144248 |  230648  
f014395 |            500000000 |            256 |    140531 | 1140531  
f023853 |      152177800000000 |      268435456 |    160350 |  246750  
f02399  |            100000000 |            256 |    152285 | 1203485  
f022395 |            100000000 |            256 |    152174 | 1203374  
f010400 |            500000000 |            256 |    145365 | 1145365  
f022163 |           1000000000 |        1048576 |    156670 |  243070  
f014409 |          50000000000 |      268435456 |    155822 |  242222  
f01241  |         100000000000 |            256 |    147948 | 1199148  
f014768 |           5000000000 |          57344 |    160359 |  246759  
f030226 |                    0 |            256 |    159499 |  245899  
f02301  |  5000000000000000000 |            256 |    159911 |  246311  
f010088 |           1000000000 |            256 |    160860 |  247260  
f01154  |            500000000 |            256 |    139820 | 1139820  
f03275  |         100000000000 |            256 |    148034 | 1199234  
f029490 |                   10 |      134217728 |    154972 |  241372  
f014365 |   990000000000000000 |       16777216 |    159410 |  245810  
f03264  |         100000000000 |            256 |    151732 | 1202932  
f019100 |         100000000000 |      134217728 |    160823 |  247223  
f03144  |            500000000 |            256 |    139374 | 1139374  
f024147 |      152177800000000 |      268435456 |    160350 |  246750  
f02770  |                    0 |            256 |    136588 | 1187788  
f021444 |            500000000 |            256 |    160241 | 1160241  
f01238  |         100000000000 |            256 |    157076 |  243476  
f08025  |         100000000000 |            256 |    148123 | 1199323  
f022289 |                  100 |            256 |    159537 |  245937  
f033517 |            500000000 |            256 |    157812 | 1157812  
f023009 |                    5 |            256 |    158776 |  245176  
f09620  |              2500000 |            256 |    150893 |  237293  
f021479 |                    0 |            256 |    160631 |  247031  
f010528 |            500000000 |            256 |    160471 | 1160471  
f08157  |            500000000 |            256 |    156348 |  242748  
f016398 |                    0 |            256 |    160596 |  246996  
f02503  |            500000000 |            256 |    140188 | 1140188  
f014324 |            500000000 |            256 |    159329 | 1159329  
f023977 |      152177800000000 |      268435456 |    160349 |  246749  
f08399  |            500000000 |            256 |    158622 | 1158622  
f024148 |      152177800000000 |      268435456 |    160350 |  246750  
f020315 |            500000000 |            256 |    154445 | 1154445  
f022832 |            100000000 |            256 |    160207 |  246607  
f022855 |         100000000000 |            256 |    146942 | 1198142  
f010498 |            500000000 |            256 |    141727 | 1141727  
f03273  |         100000000000 |            256 |    148041 | 1199241  
f015747 |         100000000000 |            256 |    144717 | 1195917  
f022309 |         100000000000 |            256 |    146292 | 1197492  
f010501 |            500000000 |            256 |    153720 | 1153720  
f022227 |            500000000 |            256 |    159520 | 1159520  
f010035 |           1000000000 |      134217728 |    160511 |  246911  
f02723  |            500000000 |            256 |    145548 | 1145548  
f021316 |            500000000 |            256 |    160401 | 1160401  
f022352 |          10000000000 |      134217728 |    157644 |  244044  
f023871 |      152177800000000 |      268435456 |    160349 |  246749  
f024014 |      152177800000000 |      268435456 |    160350 |  246750  
f02824  |            500000000 |            256 |    153164 | 1153164  
f014706 |            500000000 |            256 |    141828 | 1141828  
f032934 |            500000000 |            256 |    148676 | 1148676  
f010225 |            500000000 |            256 |    144730 | 1144730  
f05317  |         100000000000 |            256 |    158914 | 1210114  
f023978 |      152177800000000 |      268435456 |    160349 |  246749  
f019118 |            500000000 |            256 |    140472 | 1140472  
f024008 |                    0 |      268435456 |    160422 |  246822  
f010505 |            500000000 |            256 |    160454 | 1160454  
f021075 |         100000000000 |            256 |    159163 | 1210363  
f029404 |         100000000000 |            256 |    148076 |  234476  
f09848  |     1000000000000000 |      268435456 |    150786 |  237186  
f022125 |            500000000 |            256 |    149639 | 1149639  
f02299  |                    0 |        1048576 |    160387 |  246787  
f01248  |            500000000 |            256 |    139667 | 1139667  
f02420  |            500000000 |            256 |    148774 | 1148774  
f019399 |            500000000 |            256 |    150135 | 1150135  
f09037  |            500000000 |            256 |    153249 | 1153249  
f08197  |            500000000 |            256 |    159074 |  245474  
f034039 |            500000000 |            256 |    158644 |  245044  
f023981 |      152177800000000 |      268435456 |    160349 |  246749  
f02645  |         100000000000 |            256 |    148106 | 1199306  
f033438 |         100000000000 |          57344 |    156829 |  243229  
f019354 |            500000000 |            256 |    139550 | 1139550  
f023825 |         100000000000 |            256 |    148070 | 1199270  
f023870 |      152177800000000 |      268435456 |    160145 |  246545  
f02614  |            500000000 |            256 |    157480 | 1157480  
f09565  |            500000000 |            256 |    155125 | 1155125  
f02623  |         100000000000 |            256 |    147965 | 1199165  
f023647 |            500000000 |            256 |    142384 | 1142384  
f08403  |            500000000 |            256 |    157870 |  244270  
f014686 |            500000000 |            256 |    142254 | 1142254  
f07945  |            500000000 |            256 |    148322 | 1148322  
f021535 |            500000000 |            256 |    150783 | 1150783  
f02622  |         100000000000 |            256 |    148016 | 1199216  
f03223  |              5000000 |            256 |    160438 |  246838  
f033028 |                  100 |            256 |    161127 |  247527  
f02421  |            100000000 |            256 |    159097 |  245497  
f024081 |      152177800000000 |      268435456 |    160350 |  246750  
f08204  |            500000000 |            256 |    150429 | 1150429  
f034362 |            500000000 |            256 |    157642 | 1157642  
f023854 |      152177800000000 |      268435456 |    160350 |  246750  
f016563 |            100000000 |            256 |    156385 |  242785  
f025017 |            500000000 |            256 |    141000 | 1141000  
f017665 |            500000000 |            256 |    156977 | 1156977  
f021540 |         200000000000 |        1048576 |    160086 |  246486  
f03340  |            500000000 |            256 |    153025 | 1153025  
f02665  |            500000000 |            256 |    144767 | 1144767  
f032913 |            100000000 |            256 |    154695 |  241095  
f030158 |            500000000 |            256 |    150433 | 1150433  
f014394 |         100000000000 |      134217728 |    139577 |  225977  
f022566 |          10000000000 |           1024 |    154290 |  240690  
f010512 |            100000000 |            256 |    160036 | 1211236  
f032977 |            500000000 |            256 |    142641 | 1142641  
f02626  |            500000000 |            256 |    140008 | 1140008  
f03131  |            100000000 |            256 |    153875 |  240275  
f01280  |            500000000 |            256 |    141559 | 1141559  
f014233 |            500000000 |            256 |    159832 | 1159832  
